Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error
137,966981;109,793879;582,465633;262,423354;638,557721;373,300133;464,903164;297,796863;404,420024;399,377116
117,659161;182,305348;160,643555;134,336042;381,175672;407,530008;214,205585;240,012302;270,333983;231,705501
154,406752;144,261395;157,950513;129,87843;333,977326;301,678211;182,15911;108,790926;189,504397;101,569915
181,738283;225,628554;146,346869;155,491138;232,597162;248,308964;121,446753;141,003513;128,062988;153,753332
166,238887;246,576406;176,945013;131,641381;248,634827;388,602227;103,211086;58,207439;116,24264;136,131566
205,470426;225,310908;132,826528;161,95809;227,457827;241,822605;69,914251;85,143662;138,411018;147,036775
233,447283;185,37259;179,557005;149,491046;302,234707;275,100453;77,172026;61,069799;114,784625;146,982827
206,419832;201,972784;186,166844;153,077139;226,354228;236,746334;60,432505;68,190053;131,7141;126,473683
248,909072;210,895827;166,861623;177,18993;249,990488;318,934175;56,730203;61,332123;125,06045;213,683794
214,557646;193,067926;125,7551;140,91796;199,838297;190,29809;50,94058;64,083063;124,704644;127,976067
267,791944;222,626454;168,047488;207,408783;165,892319;162,980451;51,052907;67,210989;116,874461;158,336189
259,652971;282,664895;137,989876;127,108168;203,593525;226,064772;63,799488;58,806094;104,168962;128,637736
261,069689;264,105648;146,839768;172,037879;183,907497;132,353777;60,088525;67,563322;113,880317;137,9846
225,863749;224,1744;151,57833;174,375236;225,775526;166,997912;60,021819;52,891152;114,739483;80,431804
242,500021;268,320144;199,487552;136,806067;222,236752;108,39229;76,394374;69,368553;81,622635;97,800563
300,356579;336,032126;152,853938;177,661618;180,054637;119,537686;72,610017;84,778019;84,933889;80,534708
200,459868;191,127226;177,090282;193,944384;159,599444;161,671171;84,659477;79,341926;86,274589;90,167651
267,668828;190,561638;156,505688;144,002475;156,438752;213,908202;74,802303;74,973661;88,637517;90,765536
250,288631;195,709883;146,102036;152,686053;175,195154;149,569038;84,617241;67,988997;112,053998;110,619625
294,574534;225,694249;144,505735;167,160259;250,47039;210,584916;96,377884;97,956248;123,113853;99,449166
255,729294;251,306611;161,737795;157,937263;185,714783;218,286051;100,110481;95,734149;139,939715;120,017928
240,012987;200,342365;159,331911;141,851564;195,132048;107,049314;97,6324;94,522752;184,467479;135,813076
228,205864;256,579363;136,585722;106,75425;182,065689;162,738338;93,463966;76,994143;196,326939;174,035736
219,118751;242,241805;160,206471;122,416885;119,002289;122,667889;114,491713;96,876924;200,520622;180,48539
197,907328;262,102038;131,695425;112,466978;160,833462;203,090139;113,073118;125,419151;175,025111;219,684931
247,269654;172,787693;119,083897;137,431182;111,369083;138,965932;124,559699;90,510077;196,661709;228,523389
286,906075;217,937608;145,62163;108,544023;110,206489;228,089874;144,653276;103,360065;305,302717;262,283679
250,183271;156,842871;138,961557;150,995729;208,581242;181,087899;132,61844;114,301328;333,024442;209,802591
227,144529;200,531406;114,058363;159,375221;141,925066;90,997664;148,259096;162,976947;235,905987;219,351357
233,651566;193,117919;122,401509;127,609982;166,154686;98,382919;133,334071;118,348363;267,686025;326,774356
259,835621;290,402356;132,074984;142,231355;160,601449;159,768814;138,745245;122,930388;228,406346;207,592289
265,364661;335,845112;124,687349;122,50646;135,8253;112,254341;149,942123;208,338525;245,975101;303,946355
218,410176;249,488402;153,293981;119,147597;198,647479;148,742988;150,607498;131,833541;220,955002;214,281194
262,289178;216,608776;155,457769;120,763993;133,793711;151,630788;118,336819;201,796632;269,353699;241,104118
192,160903;196,141944;115,64292;111,975224;182,558478;117,879478;165,883351;146,045418;258,085715;234,800927
243,457022;220,567908;131,205243;134,143688;177,668919;92,136824;153,215429;132,93555;221,372233;306,606697
227,168182;278,625238;117,063889;88,189397;167,167004;109,842982;172,117516;161,127374;228,63541;240,487453
288,102428;247,491626;134,226511;126,307872;169,255113;127,024268;189,941186;271,746611;221,284076;246,447588
314,665358;231,558972;117,446644;132,16559;170,781406;145,256343;350,917795;286,704647;206,0943;147,098234
198,500555;242,817219;143,188351;126,062738;144,53347;102,302889;461,583961;658,858896;188,828266;180,345644
247,963571;213,912448;104,837627;105,270657;153,388859;214,593613;563,5358;699,082778;160,29664;197,006372
217,624572;195,633928;162,382673;140,625441;148,335386;131,150217;800,527076;758,10554;176,377638;185,723384
206,797611;202,602469;174,031736;86,684972;105,917526;134,589043;877,300673;1302,428151;158,306062;141,946676
242,550497;180,866861;144,031555;133,343498;157,52861;90,605416;1154,825604;903,025336;137,288184;213,695138
266,313003;283,443494;162,439245;193,644476;161,090064;138,960661;712,395414;807,309096;113,725769;195,331384
218,07276;253,685101;188,370209;138,090657;174,469966;123,477146;570,232995;372,216201;135,0238;98,736661
234,972987;284,780212;180,249057;175,6858;119,533142;151,852835;230,77371;168,296352;133,837704;123,897054
202,584188;250,14187;153,340838;193,23535;153,649315;200,395299;110,122421;158,706477;103,357274;100,971186
217,929072;175,835908;143,868208;197,032652;137,229751;139,526386;194,825429;137,117543;92,641694;84,874438
229,942236;232,062826;133,432666;139,47616;104,144616;160,043949;177,901068;150,723698;99,25149;95,142729
239,516438;259,208529;152,809121;223,662183;135,985768;122,480433;183,207738;157,288939;88,740895;91,405207
238,310375;195,845601;169,225974;221,3964;156,924087;97,470178;153,408395;187,300094;65,022781;62,909582
298,105876;213,156883;147,249211;199,743977;132,175951;105,199534;230,46336;473,411299;58,287028;65,761298
