Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error
0,261297;0,25188;0,397048;0,188181;0,261748;0,18104;0,298353;0,235073;0,267722;0,228375
0,239433;0,231784;0,186936;0,178612;0,176385;0,162245;0,189297;0,153061;0,205341;0,180056
0,217066;0,209921;0,169322;0,1753;0,16014;0,163967;0,133073;0,113579;0,179471;0,166752
0,205561;0,192879;0,167959;0,161532;0,153378;0,144159;0,109077;0,088347;0,160349;0,151059
0,189153;0,179912;0,163505;0,152802;0,147242;0,139761;0,093022;0,094008;0,145749;0,140919
0,176032;0,167722;0,155158;0,15225;0,144453;0,133948;0,08779;0,089023;0,142263;0,142835
0,163493;0,162364;0,14742;0,136751;0,134408;0,13134;0,090703;0,089602;0,140212;0,140923
0,154753;0,149079;0,147271;0,144717;0,127832;0,133703;0,085672;0,092746;0,1377;0,135018
0,1465;0,143794;0,143931;0,137948;0,126112;0,121249;0,08654;0,086802;0,136408;0,134447
0,139317;0,134281;0,137882;0,13201;0,121991;0,117214;0,087983;0,087756;0,137945;0,124977
0,132715;0,130247;0,132658;0,133441;0,119607;0,1122;0,087364;0,086869;0,130707;0,131494
0,12769;0,127204;0,130115;0,130867;0,116338;0,116198;0,080731;0,091148;0,133709;0,125584
0,126292;0,123038;0,124437;0,132929;0,110992;0,110559;0,08419;0,08263;0,129463;0,125452
0,119295;0,121964;0,129012;0,117875;0,111004;0,110625;0,081306;0,085136;0,131762;0,120679
0,117076;0,11748;0,121037;0,120629;0,110441;0,102952;0,079971;0,074847;0,127266;0,130842
0,110754;0,117143;0,119026;0,118562;0,101492;0,101719;0,07688;0,080125;0,130814;0,135413
0,113666;0,112355;0,114775;0,123269;0,099748;0,101852;0,079854;0,072738;0,126275;0,13658
0,111967;0,110363;0,114149;0,112289;0,098938;0,098689;0,071014;0,080318;0,131614;0,134206
0,108036;0,106213;0,115623;0,113975;0,099127;0,102093;0,078364;0,073958;0,133308;0,135424
0,112916;0,105554;0,112042;0,107089;0,096019;0,090075;0,074858;0,084833;0,133803;0,134005
0,106153;0,108265;0,108645;0,105997;0,091616;0,09007;0,076128;0,074243;0,141121;0,135976
0,105607;0,108834;0,111798;0,101598;0,089082;0,089681;0,070712;0,078496;0,143176;0,143629
0,10784;0,108087;0,104017;0,099604;0,089742;0,088003;0,076941;0,075032;0,135774;0,138209
0,106409;0,106336;0,101019;0,101624;0,083527;0,087283;0,073295;0,067528;0,138714;0,135844
0,10542;0,102165;0,099583;0,099973;0,084292;0,086719;0,070592;0,065779;0,131931;0,133331
0,106408;0,106727;0,097218;0,100789;0,084221;0,074966;0,074536;0,076052;0,13491;0,133659
0,103581;0,100709;0,09798;0,093347;0,084091;0,077045;0,070918;0,076922;0,131921;0,139933
0,103842;0,106877;0,094587;0,099074;0,079446;0,08217;0,075157;0,073754;0,136303;0,124678
0,104212;0,106627;0,092639;0,094406;0,077749;0,079003;0,07149;0,07792;0,128056;0,130945
0,107178;0,114295;0,093245;0,094862;0,074868;0,079803;0,076473;0,084917;0,129774;0,132257
0,106595;0,108772;0,090155;0,089647;0,076297;0,081514;0,074771;0,081091;0,128324;0,125944
